source_class	source_key	source_id	product_name	brand_name	status	verified_image	historical_gmv	historical_sold
historical_brand_product	brand:30047	30047	Mooekiss モーキス 2in1エッセンスリップティント (1本) クッションファンデ (1個)	Mooekiss (モーキス)	offline	no
historical_brand_product	brand:30051	30051	F&W Collagen Luxe+ ミックスベリー風味 コラーゲン 12,800mg	F&W	offline	no
historical_brand_product	brand:30052	30052	Pink Moments ペット用フリーズドライ 60g	Pink Moments (ピンク・モーメンツ)	offline	yes
historical_brand_product	brand:30053	30053	F&W Café Black ダイエットサポート (F&W Coffee ブラック ダイエットサポート成分コーヒー)	F&W	offline	yes
historical_brand_product	brand:30055	30055	水拭き掃除機 K30 Mix	MOVA (モバ)	offline	yes
historical_brand_product	brand:30056	30056	水拭き掃除機 K30SE	MOVA (モバ)	offline	yes
historical_brand_product	brand:30057	30057	水拭き掃除機 K10Pro	MOVA (モバ)	offline	yes
historical_brand_product	brand:30058	30058	コードレス掃除機 S1 Detect	MOVA (モバ)	offline	yes
historical_brand_product	brand:90010	90010	【OEING】 2ピースの女性用下着、大きな胸の下着、小さくてたるみ防止、薄くて通気性のある、ベストスタイルのフルカップアンチコンペックスブラ、負担を軽減し、よりリラックスした気分にさせます#518	Oeing (オーイング) 2场提案	offline	no
historical_brand_product	brand:90016	90016	【2026年限定福袋】funnyelves福袋	方里 FUNNY (ファンリー)	offline	no
historical_brand_product	brand:90022	90022	FUNNY ELVES 方里 ルースパウダー8g+クレンジングジェル	方里 FUNNY (ファンリー)	offline	no
historical_brand_product	brand:90024	90024	クッションファンデ+ネビュラプレストパウダー FUNNY ELVES 方里	方里 FUNNY (ファンリー)	offline	no
historical_brand_product	brand:90030	90030	MISTINE 1回分の日焼け止め	Mistine（ミスティーン）	offline	no
historical_brand_product	brand:120002	120002	MISTINE 落ちないタイミルクティーリップグロス	Mistine（ミスティーン）	offline	yes
historical_brand_product	brand:120003	120003	MISTINE リキッドチーク	Mistine（ミスティーン）	offline	no
historical_brand_product	brand:120004	120004	MISTINE リキッドチーク2本セット	Mistine（ミスティーン）	offline	no
historical_product_master	historical-master:13	13	KYOGOKU ステムセル フェイシャルオイル	KYOGOKU JAPAN	offline	yes
historical_product_master	historical-master:30001	30001	KYOGOKU MEGAガチャ袋	KYOGOKU JAPAN	offline	no
historical_product_master	historical-master:30002	30002	KYOGOKU クリスタルスキン エッセンスローション2本	KYOGOKU JAPAN	offline	no
historical_livestream_product	livestream-history:269f44b7a076263b	name:269f44b7a076263b	KYOGOKU ナノシルクケラチンエアソニック  ヘアドライヤー ドライヤー 大風量 速乾 1400W 120℃ 7段階 ケラチン ナノイオン 高性能 オートクリーン 温冷風切替 毛髪補修 ダメージケア 時短 保湿 軽量 液晶 ノズル付き ヘアサロン ツヤ髪	KYOGOKU JAPAN	offline	yes	30341455	1191
